gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1434138285	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:63105098	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Arrendevägen, Storvreta	b8323864-602a-4a7d-9127-bb903054e97d	59.9573	17.7008		1.0	-1.0	0.0	1.0	0.0	2013-07-17T02:00Z	17	7	2013	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	63105098		Owe Rosengren, Håkan Andersson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1433977985	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:62923392	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Vambåsa NR Norra	b8323864-602a-4a7d-9127-bb903054e97d	56.1928	15.4579		1.0	-1.0	0.0	1.0	0.0	2015-04-10T02:00Z	10	4	2015	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	62923392		Tove Thomasson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1433974292	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:62919244	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Vierydsån	b8323864-602a-4a7d-9127-bb903054e97d	56.2193	15.1934		1.0	-1.0	0.0	1.0	0.0	1961-07-17T01:00Z	17	7	1961	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Christe	62919244		Genom Christer Bergendorff	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1433164491	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:61934423	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Åvavägen	b8323864-602a-4a7d-9127-bb903054e97d	59.1653	18.3153		1.0	-1.0	0.0	1.0	0.0	2016-10-28T02:00Z	28	10	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	61934423		Martin Olofsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1433032474	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:61767671	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	30m parkeringen	b8323864-602a-4a7d-9127-bb903054e97d	59.4235	17.8691		1.0	-1.0	0.0	1.0	0.0	2016-07-10T02:00Z	10	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	61767671		Lars-Erik Sarasniemi	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432843735	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:61539384	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Gäddviken	b8323864-602a-4a7d-9127-bb903054e97d	59.4131	15.36		1.0	-1.0	0.0	1.0	0.0	2014-04-08T02:00Z	8	4	2014	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	61539384		Jan-Olov Ragnarsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432407189	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:61002949	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Hundsjö Ramvik	b8323864-602a-4a7d-9127-bb903054e97d	62.7906	17.811		1.0	-1.0	0.0	1.0	0.0	2016-08-10T02:00Z	10	8	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	61002949		Erling Strandgren	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432377436	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60969327	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Skallbergsgården	b8323864-602a-4a7d-9127-bb903054e97d	59.2769	16.5451		1.0	-1.0	0.0	1.0	0.0	2016-08-12T02:00Z	12	8	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60969327		Anna Struwe	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432326487	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60912131	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Helgö	b8323864-602a-4a7d-9127-bb903054e97d	58.7612	17.2978		1.0	-1.0	0.0	1.0	0.0	2016-08-08T02:00Z	8	8	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60912131		Lillemor Däckfors	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432309079	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60890092	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Stensjö qvarn 350 m OSO	b8323864-602a-4a7d-9127-bb903054e97d	57.4966	14.408		1.0	-1.0	0.0	1.0	0.0	2016-08-07T02:00Z	7	8	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60890092		Margareta Edqvist	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432203937	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60758992	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Mälby grus	b8323864-602a-4a7d-9127-bb903054e97d	60.0167	16.347		1.0	-1.0	0.0	1.0	0.0	2016-07-29T02:00Z	29	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60758992		Petter Andersson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432194536	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60748290	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Hackkullen, Ytterbo	b8323864-602a-4a7d-9127-bb903054e97d	57.7301	16.138		1.0	-1.0	0.0	1.0	0.0	2016-07-15T02:00Z	15	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60748290		Crister Albinsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432192793	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60746553	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Stenbrottet, Ålkistan	b8323864-602a-4a7d-9127-bb903054e97d	57.2058	16.9358		1.0	-1.0	0.0	1.0	0.0	2016-07-28T02:00Z	28	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60746553		Kaj Svahn	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432191322	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60744906	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Tapparp	b8323864-602a-4a7d-9127-bb903054e97d	57.9399	14.8572		1.0	-1.0	0.0	1.0	0.0	2016-07-28T02:00Z	28	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60744906		Timothy Karlsson, Michael Andersson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432142884	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60691875	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Blomsholm	b8323864-602a-4a7d-9127-bb903054e97d	57.9654	13.5542		1.0	-1.0	0.0	1.0	0.0	2016-07-24T02:00Z	24	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60691875		Matti Dahlbom	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432110156	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60656317	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Korsmyra	b8323864-602a-4a7d-9127-bb903054e97d	59.1096	17.9991		1.0	-1.0	0.0	1.0	0.0	2016-07-20T02:00Z	20	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60656317		Jonas Ekring	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432096514	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60641363	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Herrebro våtmark O	b8323864-602a-4a7d-9127-bb903054e97d	58.5707	16.1078		1.0	-1.0	0.0	1.0	0.0	2016-07-19T02:00Z	19	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60641363		Roine Strandberg	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432077018	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60618821	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Skjutbanan, Bergebo	b8323864-602a-4a7d-9127-bb903054e97d	60.5113	15.4745		1.0	-1.0	0.0	1.0	0.0	2014-04-16T02:00Z	16	4	2014	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60618821		Sara Eriksson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432067437	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60608518	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Lillgårdsvägen 42, Tungelsta	b8323864-602a-4a7d-9127-bb903054e97d	59.0952	18.0398		1.0	-1.0	0.0	1.0	0.0	2016-07-18T02:00Z	18	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60608518		Petter Simonsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432043982	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60582395	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Svankällan	b8323864-602a-4a7d-9127-bb903054e97d	57.8165	11.9814		1.0	-1.0	0.0	1.0	0.0	2016-07-14T02:00Z	14	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60582395		Tina Widén, Birger Kaiser	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432040261	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60578409	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Hagskog	b8323864-602a-4a7d-9127-bb903054e97d	57.299	16.9725		1.0	-1.0	0.0	1.0	0.0	2016-07-15T02:00Z	15	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60578409		Patrik Hall	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1432031817	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60568862	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Näsbyfält	b8323864-602a-4a7d-9127-bb903054e97d	56.0534	14.1392		1.0	-1.0	0.0	1.0	0.0	2016-07-10T02:00Z	10	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60568862		Fredrik Skeppstedt	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431939878	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60466764	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Balsberget	b8323864-602a-4a7d-9127-bb903054e97d	56.1052	14.1869		1.0	-1.0	0.0	1.0	0.0	2016-07-04T02:00Z	4	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60466764		Fredrik Skeppstedt	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431935679	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60462286	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Stensjö by	b8323864-602a-4a7d-9127-bb903054e97d	57.3458	16.4656		1.0	-1.0	0.0	1.0	0.0	2016-07-07T02:00Z	7	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60462286		Christer Håkansson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431910016	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60433126	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Åby ängar - centrala kohagen	b8323864-602a-4a7d-9127-bb903054e97d	56.0716	14.1136		1.0	-1.0	0.0	1.0	0.0	2016-07-01T02:00Z	1	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60433126		Roine Strandberg	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431909847	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60432976	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Hercules naturreservat	b8323864-602a-4a7d-9127-bb903054e97d	56.0009	14.2487		1.0	-1.0	0.0	1.0	0.0	2016-07-05T02:00Z	5	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60432976		Bengt Nilsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431883691	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60404345	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Tjäderhygget	b8323864-602a-4a7d-9127-bb903054e97d	57.2292	16.2806		1.0	-1.0	0.0	1.0	0.0	2016-07-03T02:00Z	3	7	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60404345		Leon Axelsson Widén, Hans Bohlin	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431818310	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60326806	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Djurängsvägen 72 , Kalmar	b8323864-602a-4a7d-9127-bb903054e97d	56.6909	16.3341		1.0	-1.0	0.0	1.0	0.0	2016-06-28T02:00Z	28	6	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60326806		George Gustafsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431816394	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60324889	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Balsberget	b8323864-602a-4a7d-9127-bb903054e97d	56.1052	14.1869		1.0	-1.0	0.0	1.0	0.0	2016-06-28T02:00Z	28	6	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60324889		Fredrik Skeppstedt	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431541388	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:60019303	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Ludgo kyrka strandskogen	b8323864-602a-4a7d-9127-bb903054e97d	58.9144	17.1361		1.0	-1.0	0.0	1.0	0.0	2016-06-07T02:00Z	7	6	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	60019303		Anneli Kihl, Staffan Kihl	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431460096	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59929186	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Knista Hammar, skogsbrynet	b8323864-602a-4a7d-9127-bb903054e97d	59.4389	17.9209		1.0	-1.0	0.0	1.0	0.0	2016-03-01T01:00Z	1	3	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59929186		Fredrik Ullén	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431258464	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59703812	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Huliesjön	b8323864-602a-4a7d-9127-bb903054e97d	56.9399	14.0489		1.0	-1.0	0.0	1.0	0.0	2016-05-19T02:00Z	19	5	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59703812		Roger Karlsson, Kerstin Karlsson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431176449	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59600178	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Sjöarp-VF-lokalen	b8323864-602a-4a7d-9127-bb903054e97d	56.2216	15.1937		1.0	-1.0	0.0	1.0	0.0	2016-05-10T02:00Z	10	5	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59600178		Stefan Lithner	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431109547	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59525407	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Skomakaregatan  Frövi	b8323864-602a-4a7d-9127-bb903054e97d	59.4745	15.3715		1.0	-1.0	0.0	1.0	0.0	2016-05-12T02:00Z	12	5	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59525407		Jan-Erik Malmstigen	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431074920	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59444846	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Bottorps hamn	b8323864-602a-4a7d-9127-bb903054e97d	56.5934	16.2297		1.0	-1.0	0.0	1.0	0.0	2016-05-07T02:00Z	7	5	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59444846		Andreas Grabs	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1431070764	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59440257	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Trofta	b8323864-602a-4a7d-9127-bb903054e97d	56.2439	15.1768		1.0	-1.0	0.0	1.0	0.0	2016-05-05T02:00Z	5	5	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59440257		Lars Bergendorf, Jan Svantesson	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
1430995115	38b4c89f-584c-41bb-bd8f-cd1def33e92f	urn:lsid:artportalen.se:Sighting:59359709	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Nymphalis	Nymphalis xanthomelas		SPECIES	Nymphalis xanthomelas Denis & Schiffermüller, 1775	SE	Ryningsnäs, avtag till gamla tornet	b8323864-602a-4a7d-9127-bb903054e97d	57.2699	15.9153		1.0	-1.0	0.0	1.0	0.0	2016-05-06T02:00Z	6	5	2016	5130587	5130587	HUMAN_OBSERVATION	ArtDatabanken	Artport	59359709		Calle Ljungberg	CC0_1_0					2017-02-19T03:02Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;DEPTH_UNLIKELY
